# M_IMBH = 1000 M_solar, rho0 = 226.00; gamma = 2.33
# First row contains values for alpha and r_t [pc]
# Remaining columns are: relative energy E [(km/s)^2], f(E) [(km/s)^-3 M_sun pc^-3]
0.000000000000000000e+00 9.999999999999999547e-07
4.751889919009340879e+00 3.618780121743274403e-02
4.857078307227426173e+00 3.804482831782180635e-02
4.964595157847734974e+00 4.000385391481647845e-02
5.074492013984963634e+00 4.207037379574293107e-02
5.186821559718191921e+00 4.425014885537182502e-02
5.301637645347405225e+00 4.654921454441301315e-02
5.418995313209096665e+00 4.897389037481095914e-02
5.538950824063325840e+00 5.153078944375860670e-02
5.661561684064881028e+00 5.422682793863926876e-02
5.786886672331488235e+00 5.706923463030333377e-02
5.914985869122261875e+00 6.006556030008505104e-02
6.045920684639923159e+00 6.322368708349558608e-02
6.179753888470587597e+00 6.655183768058642313e-02
6.316549639675233863e+00 7.005858442397502883e-02
6.456373517547278951e+00 7.375285816541868322e-02
6.599292553051013144e+00 7.764395694832813832e-02
6.745375260955948526e+00 8.174155442883941636e-02
6.894691672682512262e+00 8.605570801957290739e-02
7.047313369874800060e+00 9.059686672304056998e-02
7.203313518716512931e+00 9.537587862814671247e-02
7.362766905006509432e+00 1.004039980262150800e-01
7.525749970010792822e+00 1.056928921369665736e-01
7.692340847108125601e+00 1.112546474047772932e-01
7.862619399246836949e+00 1.171017753458943045e-01
8.036667257230771355e+00 1.232472179005242308e-01
8.214567858852747761e+00 1.297043523164589929e-01
8.396406488894276876e+00 1.364869955901963083e-01
8.582270320010715992e+00 1.436094080985153287e-01
8.772248454521466954e+00 1.510862971078995864e-01
8.966431967125242153e+00 1.589328194204409905e-01
9.164913948560883483e+00 1.671645835423116455e-01
9.367789550234659757e+00 1.757976513865698864e-01
9.575156029835440563e+00 1.848485393046129521e-01
9.787112797959617083e+00 1.943342186317279230e-01
1.000376146576810754e+01 2.042721157099298690e-01
1.022520589369831612e+01 2.146801113051493015e-01
1.045155224125436710e+01 2.255765396247069732e-01
1.068290901789953118e+01 2.369801867861441869e-01
1.091938713507518877e+01 2.489102887634318806e-01
1.116109995937128119e+01 2.613865290698274557e-01
1.140816336687377230e+01 2.744290358730808177e-01
1.166069579871516915e+01 2.880583787558044784e-01
1.191881831785466517e+01 3.022955652873081100e-01
1.218265466711519451e+01 3.171620371238081937e-01
1.245233132850522395e+01 3.326796658799918704e-01
1.272797758385368283e+01 3.488707489785963789e-01
1.300972557678711894e+01 3.657580050232613900e-01
1.329771037607875428e+01 3.833645692677848382e-01
1.359207004039989997e+01 4.017139890385272305e-01
1.389294568450468503e+01 4.208302188430044777e-01
1.420048154687986752e+01 4.407376158300144731e-01
1.451482505889211261e+01 4.614609351840183171e-01
1.483612691546597517e+01 4.830253254124656781e-01
1.516454114732641045e+01 5.054563241975096322e-01
1.550022519484043038e+01 5.287798541683940146e-01
1.584333998349331196e+01 5.530222187579270088e-01
1.619405000103559900e+01 5.782100989446595785e-01
1.655252337633784876e+01 6.043705493181166233e-01
1.691893195999084654e+01 6.315309957739921876e-01
1.729345140669005332e+01 6.597192323815224135e-01
1.767626125944369520e+01 6.889634194939275869e-01
1.806754503564495096e+01 7.192920815956643787e-01
1.846749031504936056e+01 7.507341065086177156e-01
1.887628882969974953e+01 7.833187445220095579e-01
1.929413655584174947e+01 8.170756076186806993e-01
1.972123380787399327e+01 8.520346704451339237e-01
2.015778533437795161e+01 8.882262707646073618e-01
2.060400041627350376e+01 9.256811108303779623e-01
2.106009296714732315e+01 9.644302594746972934e-01
2.152628163580214604e+01 1.004505154621833984e+00
2.200278991107605719e+01 1.045937606433221978e+00
2.248984622898204577e+01 1.088759800929997468e+00
2.298768408221926052e+01 1.133004304474416468e+00
2.349654213210844134e+01 1.178704068689647722e+00
2.401666432300509513e+01 1.225892435824768256e+00
2.454829999924534079e+01 1.274603144898317053e+00
2.509170402468053851e+01 1.324870338615578680e+00
2.564713690485795183e+01 1.376728570358596082e+00
2.621486491190594137e+01 1.430212812028344826e+00
2.679516021218367783e+01 1.485358462566553461e+00
2.738830099675650942e+01 1.542201356946303781e+00
2.799457161475962508e+01 1.600777775513048562e+00
2.861426270971375274e+01 1.661124453841461790e+00
2.924767135885838343e+01 1.723278593594519625e+00
2.989510121556935474e+01 1.787277873518346771e+00
3.055686265492900588e+01 1.853160460606712467e+00
3.123327292251860499e+01 1.920965022309927273e+00
3.192465628650450071e+01 1.990730739234238156e+00
3.263134419309090362e+01 2.062497317553869003e+00
3.335367542541380459e+01 2.136305002718139168e+00
3.409199626595211186e+01 2.212194593286395783e+00
3.484666066253395655e+01 2.290207454719979552e+00
3.561803039801777260e+01 2.370385534270534222e+00
3.640647526372949727e+01 2.452771376143430437e+00
3.721237323673888397e+01 2.537408136527536051e+00
3.803611066106004301e+01 2.624339599410972390e+00
3.887808243286314536e+01 2.713610192977583324e+00
3.973869218978597928e+01 2.805265005906512066e+00
4.061835250443605361e+01 2.899349803589319485e+00
4.151748508217607991e+01 2.995911046863136917e+00
4.243652096328775514e+01 3.094995907883944852e+00
4.337590072961067023e+01 3.196652288722168667e+00
4.433607471575525238e+01 3.300928839569230000e+00
4.531750322499126327e+01 3.407874976973759296e+00
4.632065674991518733e+01 3.517540902508686784e+00
4.734601619800241679e+01 3.629977622208238941e+00
4.839407312215220713e+01 3.745236966072386764e+00
4.946532995633588570e+01 3.863371607324041168e+00
5.056030025646177251e+01 3.984435082653088323e+00
5.167950894657143124e+01 4.108481812816622281e+00
5.282349257048610269e+01 4.235567122703366216e+00
